导演,演员2,演员1,电影,演员3,内容,评级,体裁,,,,
Christopher Morris,Riz Ahmed,Kayvan Novak,Four Lions?,Alex Macqueen,accidental shooting|bird|crow|exploding animal|muslim,R,Comedy,,Drama,,
Kevin Jordan,Christa Miller,Derick Martini,Smiling Fish & Goat on Fire?,Ion Overman,accountant|actor|animal in title|mail carrier|single parent,R,Comedy,,,,
Steve Pink,Gillian Jacobs,Adam Scott,Hot Tub Time Machine 2?,Collette Wolfe,acid trip|gameshow|hot tub|time lord|time machine,R,Comedy,,,,
Dominic Burns,Sean Pertwee,Julian Glover,Alien Uprising?,Bianca Brigitte VanDamme,acronym in title|period in title|title ends with period,R,Comedy,,,,
Michel Leclerc,Jacques Gamblin,Sara Forestier,The Names of Love?,Zinedine Soualem,activist|promiscuous daughter|promiscuous woman|sex in a bed|voyeurism,R,Comedy,Drama,,,
Michael Winterbottom,Shirley Henderson,Steve Coogan,Tristram Shandy: A Cock and Bull Story?,Dylan Moran,actor playing himself|battle|boots|penis|womb,R,Comedy,Drama,,,
Robert Townsend,Keenen Ivory Wayans,Robert Townsend,Hollywood Shuffle?,Helen Martin,actor|african american|dream|two word title|written and directed by cast member,R,Comedy,,,,
Barry Levinson,Robin Wright,Robert De Niro,What Just Happened?,Kristen Stewart,actor|agent|beard|cannes|hollywood,R,Comedy,Drama,,,
James Toback,Natasha Gregson Wagner,Robert Downey Jr.,Two Girls and a Guy?,Angel David,actor|anilingus|double cross|funeral home|two timing,R,Comedy,Drama,,,
Alejandro G. I?árritu,Naomi Watts,Emma Stone,Birdman or (The Unexpected Virtue of Ignorance)?,Merritt Wever,actor|artist|broadway play|replacement|stage,R,Comedy,Drama,,,
Todd Phillips,RZA,Robert Downey Jr.,Due Date?,Matt Walsh,actor|aspiring actor|birth|misadventure|suitcase,R,Comedy,Drama,,,
John Madden,Martin Clunes,Tom Wilkinson,Shakespeare in Love?,Simon Callow,actor|audition|muse|playwright|theater,R,Comedy,Drama,,,
Doug Liman,Alex Désert,Jon Favreau,Swingers?,Blake Lindsley,actor|black panties|cult film|friend|upskirt,R,Comedy,Drama,,,
Sofia Coppola,Chris Pontius,Nathalie Fay,Somewhere?,Erin Wasson,actor|boredom|luxury hotel|party|trip,R,Comedy,Drama,,,
Jay Duplass,Jennifer Lafleur,Greta Gerwig,Baghead?,Elise Muller,actor|cabin|california|paper bag|vomiting,R,Comedy,Drama,,,
Shane Black,Corbin Bernsen,Robert Downey Jr.,Kiss Kiss Bang Bang?,Larry Miller,actor|detective sergeant|hotel|nightclub|thief,R,Comedy,,,,
Zach Braff,Michael Weston,Armando Riesco,Garden State?,Jill Flint,actor|doctor|drugs|home|pain,R,Comedy,Drama,,,
Zach Braff,Josh Gad,Jim Parsons,Wish I Was Here?,Michael Weston,actor|dream sequence|genius recluse|jew|religion,R,Comedy,Drama,,,
Kevin Smith,Jeff Anderson,Gerry Bednob,Zack and Miri Make a Porno?,Jennifer Schwalbach Smith,actor|friend|male frontal nudity|male full frontal nudity|penis,R,Comedy,,,,
Dan Zukovic,Louis Mustillo,Yul Vazquez,The Last Big Thing?,James Lorinz,actor|magazine|model|rock band|suburb,R,Comedy,Drama,,,
Spike Lee,Michael Rapaport,Gillian White,Bamboozled?,Jada Pinkett Smith,actor|minstrel show|protest|success|writer,R,Comedy,Drama,,,
Judd Apatow,Randall Park,Amy Schumer,Trainwreck?,Josh Segarra,actress playing herself|actress shares first name with character|fired from a job|male nudity|written by star,R,Comedy,,,,
Michael Schultz,LisaGay Hamilton,Blair Underwood,Krush Groove?,Bobby Brown,actress shares first name with character|bar|car wash|city|d.j.,R,Comedy,Drama,,,
Woody Allen,Chazz Palminteri,Jim Broadbent,Bullets Over Broadway?,Dianne Wiest,actress|bodyguard|new york city|play|playwright,R,Comedy,,,,
Mike Mills,Lou Taylor Pucci,Goran Visnjic,Beginners?,Mary Page Keller,actress|cancer|death|french|gay relationship,R,Comedy,Drama,,,
Charlie Kaufman,Jennifer Jason Leigh,Philip Seymour Hoffman,"Synecdoche, New York?",Samantha Morton,actress|director|play|theatre director|warehouse,R,Comedy,Drama,,,
John Waters,Melanie Griffith,Alicia Witt,Cecil B. DeMented?,Kevin Nealon,actress|drive in|female protagonist|movie star|woman shot in the forehead,R,Comedy,,,,
Don Mancini,Billy Boyd,Jason Flemyng,Seed of Chucky?,Hannah Spearritt,actress|killer doll|murder|vixen|vomiting,R,Comedy,,,,
Bart Freundlich,Garry Shandling,Billy Crudup,Trust the Man?,Dagmara Dominczyk,actress|lesbianism|manhattan new york city|urination|watching pornography,R,Comedy,Drama,,,
Spike Lee,Debi Mazar,Michael Imperioli,Girl 6?,Gretchen Mol,actress|neighbor|phone sex|queens new york city|sex addiction,R,Comedy,Drama,,,
James Cox,Powers Boothe,Jon Mack,Straight A's?,Josh Meyers,addict|paternity|rascal|swimming pool|texas,R,Comedy,Drama,,,
David O. Russell,Mary Tyler Moore,Lily Tomlin,Flirting with Disaster?,David Patrick Kelly,adoption|armpit fetish|mistaken identity|new mexico|overalls,R,Comedy,,,,
Justin Zackham,Robert De Niro,Robin Williams,The Big Wedding?,Topher Grace,adoption|divorce|family relationships|farce|wedding,R,Comedy,,,,
DJ Pooh,Mike Epps,Mo'Nique,3 Strikes?,Faizon Love,adult diaper|diaper|digit in title|dream|sawed off shotgun,R,Comedy,,,,
David O. Russell,Robert De Niro,Jennifer Lawrence,Silver Linings Playbook?,Bradley Cooper,adulterous wife|bipolar disorder|obsessive compulsive personality disorder|unhappy marriage|widow,R,Comedy,Drama,,,
Jonathan Lynn,Matthew Perry,Bruce Willis,The Whole Nine Yards?,Natasha Henstridge,adultery|black humor|dentist|hitman|sex in bed,R,Comedy,,,,
Craig Johnson,Boyd Holbrook,Ty Burrell,The Skeleton Twins?,Kathleen Rose Perkins,adultery|brother sister relationship|estrangement|siblings|suicide attempt,R,Comedy,Drama,,,
Reginald Hudlin,Eartha Kitt,John Witherspoon,Boomerang?,Geoffrey Holder,advertising|battle of the sexes|dating|one word title|womanizer,R,Comedy,Drama,,,
Mark Brown,Vivica A. Fox,Mo'Nique,Two Can Play That Game?,Tamala Jones,advice|battle of the sexes|lingerie|romantic rivalry|rule,R,Comedy,,,,
Nancy Meyers,Hunter Parrish,Meryl Streep,It's Complicated?,Zoe Kazan,affair|divorce|graduation|vomiting|watching television,R,Comedy,Drama,,,
Stephen Herek,Callum Blue,Henry Ian Cusick,Dead Like Me: Life After Death?,Shenae Grimes-Beech,african american policeman|police|policeman|policewoman|vomiting,R,Comedy,Drama,,,
DJ Pooh,Dr. Dre,Angell Conwell,The Wash?,DJ Pooh,african american stereotype|car wash|rent|roommate|threatening telephone call,R,Comedy,,,,
Malcolm D. Lee,Sanaa Lathan,Harold Perrineau,The Best Man?,Jarrod Bunch,african american|bachelor party|brooklyn bridge|family relationships|stripper,R,Comedy,Drama,,,
Gary Hardwick,Tatyana Ali,Julie Benz,The Brothers?,Jenifer Lewis,african american|commitment|friend|friendship|playboy,R,Comedy,Drama,,,
Martin Lawrence,Lynn Whitfield,Faizon Love,A Thin Line Between Love and Hate?,Della Reese,african american|dating|independent film|irreverence|revenge,R,Comedy,,Drama,,
Nicole Holofcener,Brenda Blethyn,Aunjanue Ellis,Lovely & Amazing?,Raven Goodwin,african american|dog|homecoming queen|insecurity|surgery,R,Comedy,Drama,,,
George Gallo,Joe Howard,Eddie Griffin,DysFunktional Family?,Robert Noble,african american|family relationships|stand up comedian|stand up comedy,R,Comedy,,,,
Steve Carr,Mike Epps,John Witherspoon,Next Friday?,Rolando Molina,african american|flashback|marijuana joint|porn magazine|suburb,R,Comedy,,,,
Rick Famuyiwa,Rick Fox,Kimberly Elise,Dope?,Kiersey Clemons,african american|geek|hip hop|party|tomboy,R,Comedy,,Drama,,
Goran Dukic,Patrick Fugit,Leslie Bibb,Wristcutters: A Love Story?,Chase Ellison,afterlife|camping|death|hitchhiker|suicide,R,Comedy,Drama,,,
Stephen Frears,Iben Hjejle,Tom Burke,Chéri?,Gaye Brown,age difference|courtesan|mansion|marriage|prostitute,R,Comedy,Drama,,,
Cameron Crowe,Kelly Preston,Tom Cruise,Jerry Maguire?,Bonnie Hunt,agent|career|client|fiance|sports agent,R,Comedy,Drama,,,
Richard Curtis,Liam Neeson,Colin Firth,Love Actually?,Kris Marshall,aging rocker|christmas|love at first sight|minister|prime minister,R,Comedy,Drama,,,
Brian Koppelman,David Costabile,Jenna Fischer,Solitary Man?,Richard Schiff,aging|hdtv|high definition television|love|marriage,R,Comedy,Drama,,,
Mike Newell,Kurt Fuller,Angelina Jolie Pitt,Pushing Tin?,Jake Weber,air traffic control|air traffic controller|female bodybuilder|job|marriage,R,Comedy,Drama,,,
Jessy Terrero,Snoop Dogg,Mo'Nique,Soul Plane?,Tom Arnold,airline|airplane|bathroom|sex|toilet,R,Comedy,,,,
Jim Field Smith,Kim Shaw,Mike Vogel,She's Out of My League?,Geoff Stults,airport|airport security|confidence|iphone|love,R,Comedy,,,,
Jonathan Lynn,Bruce McGill,Fred Gwynne,My Cousin Vinny?,Lane Smith,alabama|jail|judicial system|lawyer|trial,R,Comedy,,,,
Jay Roach,Mary McCormack,Scott Grimes,"Mystery, Alaska?",Ron Eldard,alaska|male nudity|nudity|sex|small town,R,Comedy,Drama,,,
Steve Buscemi,Debi Mazar,Steve Buscemi,Trees Lounge?,Carol Kane,alcoholic drink|bar|drink|drinking|drunk,R,Comedy,Drama,,,
Dan Rush,Scott Takeda,Will Ferrell,Everything Must Go?,Stephen Root,alcoholic|beer|bicycle|new neighbor|yard sale,R,Comedy,Drama,,,
John Dahl,Aaron Hughes,Philip Baker Hall,You Kill Me?,Jayne Eastwood,alcoholic|buffalo new york|claim in title|embalming|mortuary,R,Comedy,,,,
Ryan Murphy,Joseph Cross,Jill Clayburgh,Running with Scissors?,Dagmara Dominczyk,alcoholic|fame|therapist|writer|writing,R,Comedy,Drama,,,
Ben Falcone,Mark Duplass,Gary Cole,Tammy?,Ben Falcone,alcoholic|grandmother|highway travel|niagara falls|on the road,R,Comedy,,,,
Garry Marshall,Zachary Gordon,Hector Elizondo,Georgia Rule?,Jane Fonda,alcoholic|rules|secret|summer|teenager,R,Comedy,Drama,,,
William Sachs,Avery Schreiber,Stephen Macht,Galaxina?,Angelo Rossitto,alien|android|fem bot|female android|stars,R,Comedy,,,,
James Gunn,Gregg Henry,Dustin Milligan,Slither?,Tania Saulnier,alien|b movie|sex|slug|small town,R,Comedy,,,,
Mike Nichols,Linda Fiorentino,Judy Greer,What Planet Are You From??,Garry Shandling,alien|baby|banker|pregnancy|question in title,R,Comedy,,,,
Jeff Tremaine,Steve-O,Bam Margera,Jackass: The Movie?,Chris Pontius,alligator|golf|japan|panda|stunt,R,Comedy,,,,
Barry Levinson,Brían F. O'Byrne,Anna Friel,An Everlasting Piece?,Pauline McLynn,alopecia|belfast northern ireland|ireland|irish republican army|scalper,R,Comedy,,,,
Miguel Arteta,Ari Graynor,Steve Buscemi,Youth in Revolt?,Fred Willard,alter ego|boarding school|love|masturbation|teen movie,R,Comedy,Drama,,,
Peter Howitt,Kevin McNally,Jeanne Tripplehorn,Sliding Doors?,John Lynch,alternative reality|multiple outcomes|parallel time|serendipity|twist of fate,R,Comedy,Drama,,,
Christopher Guest,Fred Willard,Catherine O'Hara,Waiting for Guffman?,Larry Miller,amateur theater|dentist|missouri|small town|travel agent,R,Comedy,,,,
Sharon Maguire,Jim Broadbent,Colin Firth,Bridget Jones's Diary?,Shirley Henderson,american actress playing british character|book publishing|calorie counting|employer employee relationship|rabbit costume,R,Comedy,Drama,,,
Beeban Kidron,Jim Broadbent,Colin Firth,Bridget Jones: The Edge of Reason?,Celia Imrie,american actress playing british character|intern|prison|six word title|thailand,R,Comedy,Drama,,,
Michael Bay,Larry Hankin,Dwayne Johnson,Pain & Gain?,Michael Rispoli,american dream|bodybuilder|money|punch into the camera|reference to julia roberts,R,Comedy,,Drama,,
Richard Kelly,Curtis Armstrong,Janeane Garofalo,Southland Tales?,Chris Andrew Ciulla,amnesia|boxer|conspiracy|police|porn star,R,Comedy,,,,
Greg Mottola,Martin Starr,Kristen Stewart,Adventureland?,Wendie Malick,amusement park|strong female character|summer job|teen movie|teenager,R,Comedy,Drama,,,
John Turturro,Steve Buscemi,Kate Winslet,Romance & Cigarettes?,Eddie Izzard,anal sex|death|dream|poem|sex,R,Comedy,,,,
Harold Ramis,Chazz Palminteri,Robert De Niro,Analyze This?,Molly Shannon,analyst|mafia|patient|psychiatrist|wedding,R,Comedy,,,,
Mike Binder,Erika Christensen,Alicia Witt,The Upside of Anger?,Joan Allen,anger|baseball|drinking|radio|secretary,R,Comedy,Drama,,,
Tom Green,Harland Williams,Rip Torn,Freddy Got Fingered?,Eddie Kaye Thomas,animator|bamboo cane|cartoonist|sausage|slacker,R,Comedy,,,,
Peter Chelsom,Warren Beatty,Del Zamora,Town & Country?,Garry Shandling,anniversary|architect|cellist|friend|hardware store,R,Comedy,,,,
Bob Odenkirk,Lee Majors,Jenna Fischer,The Brothers Solomon?,Will Forte,antarctica|coma|neighbor|phd|pregnancy,R,Comedy,,,,
George A. Romero,Hal Holbrook,Ted Danson,Creepshow?,Adrienne Barbeau,anthology|child abuse|critically acclaimed|death|grindhouse,R,Comedy,,,,
Michael Gornick,Holt McCallany,George Kennedy,Creepshow 2?,Dorothy Lamour,anthology|hit and run|hit by a car|living statue|melting woman,R,Comedy,,,,
Stephen Frears,Christopher Guest,Bob Hoskins,Mrs Henderson Presents?,Sarah Solemani,anti semitism|breasts|chamberlain|friend|theatre,R,Comedy,Drama,,,
Guy Ritchie,Jason Flemyng,Jason Statham,"Lock, Stock and Two Smoking Barrels?",Dexter Fletcher,antique|cockney accent|hatchet|money|shotgun,R,Comedy,,,,
Marcus Raboy,Mike Epps,John Witherspoon,Friday After Next?,Katt Williams,apartment|christmas|christmas present|rent|security guard,R,Comedy,Drama,,,
Cédric Klapisch,Cécile De France,Romain Duris,L'auberge espagnole?,Iddo Goldberg,apartment|erasmus|language|student|trip,R,Comedy,Drama,,,
Nicole Holofcener,Thomas Ian Nicholas,Oliver Platt,Please Give?,Ann Morgan Guilbert,apartment|first date|neighbor|new york|new york city,R,Comedy,Drama,,,
Woody Allen,John Carradine,Woody Allen,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask?,Lynn Redgrave,aphrodisiac|court jester|jester|queen|written and directed by cast member,R,Comedy,,,,
Evan Goldberg,James Franco,Channing Tatum,This Is the End?,Emma Watson,apocalypse|celebrity|ensemble cast|party|rapture,R,Comedy,,,,
David Raynr,Deon Richmond,Donald Faison,Trippin'?,Countess Vaughn,apostrophe in title|bare breasts|female nudity|nude black woman|prom,R,Comedy,,,,
Curtis Hanson,Shelley Long,Tom Cruise,Losin' It?,Rick Rossovich,apostrophe in title|bare breasts|friendship between men|teen sex comedy|two word title,R,Comedy,Drama,,,
Mike Mitchell,Eddie Griffin,Amy Poehler,Deuce Bigalow: Male Gigolo?,Bree Turner,aquarium|fish|fish tank|gigolo|norwegian,R,Comedy,,,,
Woody Allen,Judy Davis,Ornella Muti,To Rome with Love?,Alessandra Mastronardi,architect|celebrity|prostitute|shower|tourist,R,Comedy,,,,
Taylor Hackford,Bai Ling,Scout Taylor-Compton,Love Ranch?,Gil Birmingham,argentine|brothel|cancer|female full frontal nudity|fight,R,Comedy,Drama,,,
Sean Anders,Leighton Meester,Adam Sandler,That's My Boy?,Will Forte,argument|reference to vanilla ice|statutory rape|teacher student relationship|teacher student sex,R,Comedy,,,,
Tamara Jenkins,David Zayas,Philip Seymour Hoffman,The Savages?,Gbenga Akinnagbe,arizona|dementia|married man|sun city arizona|writing,R,Comedy,Drama,,,
Nick Tomnay,Clayne Crawford,David Hyde Pierce,The Perfect Host?,Nathaniel Parker,arm tattoo|bank robbery|cauterizing a wound|dancing on a table|dinner party,R,Comedy,,,,
Sam Raimi,Bridget Fonda,Patricia Tallman,Army of Darkness?,Embeth Davidtz,army of the dead|battle|necronomicon|reluctant hero|skeleton soldier,R,Comedy,,,,
Mira Nair,Randeep Hooda,Naseeruddin Shah,Monsoon Wedding?,Lillete Dubey,arranged marriage|bride|celebration|marriage|wedding,R,Comedy,Drama,,,
Terry Zwigoff,Steve Buscemi,Scarlett Johansson,Ghost World?,T.J. Thyne,art class|diner|friend|graduation|high school,R,Comedy,Drama,,,
Jesse Peretz,Adam Scott,Zooey Deschanel,Our Idiot Brother?,Steve Coogan,art model|farmer|jail|nude model|three sisters,R,Comedy,Drama,,,
Evan Goldberg,Randall Park,James Franco,The Interview?,Anders Holm,assassination attempt|communist dictatorship|dictator|exploding helicopter|finger bitten off,R,Comedy,,,,
Mike Mills,Lou Taylor Pucci,Kelli Garner,Thumbsucker?,Nancy O'Dell,attention deficit disorder|debate|drugs|psychologist|school,R,Comedy,Drama,,,
Richard Linklater,Richard Linklater,Tommy Pallotta,Slacker?,Jean Caffeine,austin texas|moon|pap smear|texas|twenty something,R,Comedy,Drama,,,
Fernando León de Aranoa,Enrique Villén,Luis Tosar,Mondays in the Sun?,Aida Folch,australia|bar|shipyard|siamese twins|tuna,R,Comedy,Drama,,,
Sam Miller,Alan Williams,Rachel Griffiths,Among Giants?,Rob Jarvis,australian|female armpit hair|friend|sheffield|yorkshire,R,Comedy,,,,
Larry Charles,Elton John,Bono,Brüno?,Slash,austrian|fame|fashion|gay lead character|mockumentary,R,Comedy,,,,
Darren Stein,Jamie Kennedy,Frances Bay,Sparkler?,Veronica Cartwright,automobile association of america|cheating|psychic|reference to tom jones the singer|trailer park,R,Comedy,Drama,,,
Marianna Palka,Martin Starr,Bryce Dallas Howard,Good Dick?,Jason Ritter,avoidant personality disorder|emotionally vulnerable|sex|video store|video store clerk,R,Comedy,Drama,,,
Miguel Arteta,Stephen Root,Kurtwood Smith,Cedar Rapids?,Alia Shawkat,award|cedar rapids iowa|convention|hotel|insurance,R,Comedy,,,,
Elizabeth Banks,Kate Winslet,Hugh Jackman,Movie 43?,Seth MacFarlane,awkwardness|embarrassment|gross out|irreverence|shame,R,Comedy,,,,
Bruce Campbell,Dan Hicks,Ted Raimi,My Name Is Bruce?,Timothy Patrick Quill,b movie|birthday|chinese|demon|small town,R,Comedy,,,,
Sam Mendes,Jim Gaffigan,Catherine O'Hara,Away We Go?,Carmen Ejogo,baby|children|friend|love|road trip,R,Comedy,Drama,,,
Nicholas Hytner,Tim Daly,Liam Aiken,The Object of My Affection?,Kali Rocha,baby|dancing|gay|name calling|penis slur,R,Comedy,Drama,,,
Olivier Assayas,Miranda Richardson,Steve Buscemi,"Paris, je t'aime?",Catalina Sandino Moreno,baby|divorce|oscar wilde|pigalle|tourist,R,Comedy,Drama,,,
Seth MacFarlane,Morgan Freeman,Liam Neeson,Ted 2?,Seth MacFarlane,baby|f word|fight|lawyer|marriage,R,Comedy,,,,
David Gordon Green,J.B. Smoove,Ari Graynor,The Sitter?,Kylie Bunbury,babysitting|car crash|child in peril|kicked in the face|reference to craigslist,R,Comedy,,,,
Bob Gosse,Susie Abromeit,Geoff Stults,I Hope They Serve Beer in Hell?,Derek Wayne Johnson,bachelor party|bare butt|loud sex|sex standing up|topless female nudity,R,Comedy,,,,
Jesse Dylan,Thomas Ian Nicholas,Alyson Hannigan,American Wedding?,Fred Willard,bachelor party|blow job|breasts|friend|wedding,R,Comedy,,,,
Peter Berg,Daniel Stern,Jon Favreau,Very Bad Things?,Jeanne Tripplehorn,bachelor party|breasts|friend|prostitute|wedding,R,Comedy,,,,
Leslye Headland,Adam Scott,Kirsten Dunst,Bachelorette?,Andrew Rannells,bachelorette party|drug use|high school|overdose|wedding dress,R,Comedy,,,,
Spike Lee,Cedric the Entertainer,Bernie Mac,The Original Kings of Comedy?,Steve Harvey,backstage|comedian|concert film|emcee|stand up comedian,R,Comedy,,,,
Steve Buscemi,Seymour Cassel,Kevin Corrigan,Lonesome Jim?,Mary Kay Place,bail|coma|dart board|indiana|ladder factory,R,Comedy,Drama,,,
Tamra Davis,Harland Williams,Dave Chappelle,Half Baked?,Clarence Williams III,bail|diabetic|friend|jail|pharmaceutical lab,R,Comedy,,,,
Barry Levinson,Daniel Stern,Steve Guttenberg,Diner?,Ellen Barkin,baltimore colts|diner|marriage|salesman|wedding,R,Comedy,Drama,,,
Luc Besson,Isabelle Adjani,Christopher Lambert,Subway?,Jean-Hugues Anglade,band|blackmail|safe|subway|train,R,Comedy,Drama,,,
Adam Rifkin,Lin Shaye,Natasha Lyonne,Detroit Rock City?,Shannon Tweed,band|concert|high school|kiss|teenager,R,Comedy,,,,
Malcolm D. Lee,Sean Hayes,Bernie Mac,Soul Men?,Mike Epps,band|masturbation|reunion|singer|tribute,R,Comedy,Drama,,,
John Cameron Mitchell,Miriam Shor,John Cameron Mitchell,Hedwig and the Angry Inch?,Andrea Martin,band|rock band|sex change|song|transsexual,R,Comedy,Drama,,,
Jez Butterworth,Mathieu Kassovitz,Mark Gatiss,Birthday Girl?,Ben Chaplin,bank|bank clerk|birthday|mail order bride|russian,R,Comedy,,,,
Steven Soderbergh,Alex Pettyfer,Channing Tatum,Magic Mike?,Matthew McConaughey,bank|male nudity|male objectification|male stripper|stripper,R,Comedy,Drama,,,
Chris Rock,Eliza Coupe,Steve Buscemi,I Think I Love My Wife?,Wendell Pierce,banker|investment|investment banker|marriage|sex,R,Comedy,Drama,,,
Ethan Coen,Fred Melamed,Michael Stuhlbarg,A Serious Man?,Peter Breitmayer,bar mitzvah|jewish|marital breakup|nose job|rabbi,R,Comedy,Drama,,,
Eric Schaeffer,Bill Duke,Peter Dinklage,Never Again?,Michael McKean,bar|gay bar|love|mother son relationship|new york,R,Comedy,,,,
Richard Shepard,Philip Baker Hall,Adam Scott,The Matador?,Hope Davis,bar|hitman|luck|mexico|mexico city,R,Comedy,,Drama,,
Nanette Burstein,Kelli Garner,Rob Riggle,Going the Distance?,Jim Gaffigan,bar|job|long distance relationship|male pubic hair|pubic hair,R,Comedy,,,,
Chris Rock,Romany Malco,Rosario Dawson,Top Five?,J.B. Smoove,bare breasts|celebrity|in medias res|reference to planet of the apes|sex talk,R,Comedy,,,,
Michael Tiddes,Essence Atkins,Ashley Rickards,A Haunted House 2?,Gabriel Iglesias,bare breasts|parody|sexual innuendo|slip and fall|squirting orgasm,R,Comedy,,,,
Nicholas Stoller,Ike Barinholtz,Chlo? Grace Moretz,Neighbors 2: Sorority Rising?,Kiersey Clemons,bare chested male|gay|gay best friend|gay man|gay marriage proposal,R,Comedy,,,,
Gabriela Tagliavini,Kate del Castillo,Maria Conchita Alonso,Without Men?,Camryn Manheim,bare chested male|journalist|passion|pregnancy|woman in underwear,R,Comedy,,,,
S.R. Bindler,Scott Glenn,Matthew McConaughey,"Surfer, Dude?",Sarah Wright,barefoot|endorsement|surfboard|virtual reality|waves,R,Comedy,,,,
Terry Zwigoff,Tony Cox,Bernie Mac,Bad Santa?,Alex Borstein,bartender|christmas|christmas eve|department store|drink,R,Comedy,,Drama,,
Risa Bramon Garcia,Dave Chappelle,Janeane Garofalo,200 Cigarettes?,Gaby Hoffmann,bartender|friend|new year's eve|party|punk,R,Comedy,Drama,,,
Bob Dolman,Eva Amurri Martino,Erika Christensen,The Banger Sisters?,Sal Lopez,bartender|groupie|lawyer|road trip|writer,R,Comedy,Drama,,,
Frank Sebastiano,Laurie Metcalf,Joe Lo Truglio,Beer League?,Seymour Cassel,baseball|baseball movie|beer|slacker|softball,R,Comedy,,,,
Bruno Barreto,Sonia Braga,Marcello Mastroianni,Gabriela?,Joffre Soares,based on novel|brazil|female underarm hair|sex in a window|star appears nude,R,Comedy,Drama,,,
Curtis Hanson,Rip Torn,Robert Downey Jr.,Wonder Boys?,Richard Thomas,based on novel|college girl|midlife crisis|pittsburgh pennsylvania|professor,R,Comedy,Drama,,,
Frank Whaley,Frank Whaley,Lynn Cohen,The Jimmy Show?,Heather Bucha,based on play|character name in title,R,Comedy,Drama,,,
Roman Polanski,Christoph Waltz,Kate Winslet,Carnage?,Julie Adams,based on play|meeting|salesman|single set production|whiskey,R,Comedy,Drama,,,
Jay Duplass,Evan Ross,Judy Greer,"Jeff, Who Lives at Home?",Rae Dawn Chong,basement|errand|secret admirer|slacker|wrong number,R,Comedy,Drama,,,
James Toback,Eric Stoltz,Sarah Michelle Gellar,Harvard Man?,Joey Lauren Adams,basketball|cheerleader|college|harvard|philosophy,R,Comedy,,Drama,,
Paul Mazursky,Ryan O'Neal,Chazz Palminteri,Faithful?,Paul Mazursky,bathroom|bathtub|female protagonist|flashback|kitchen,R,Comedy,,Drama,,
Adam Green,Kane Hodder,Joel David Moore,Hatchet?,Joel Murray,bayou|boat|louisiana|swamp|tour,R,Comedy,,,,
Steven Shainberg,Stephen McHattie,Jeremy Davies,Secretary?,Lesley Ann Warren,bdsm|employer employee relationship|hospital|mental hospital|secretary,R,Comedy,Drama,,,
J.B. Rogers,Shannon Elizabeth,Alyson Hannigan,American Pie 2?,Natasha Lyonne,beach|beach house|college|party|student,R,Comedy,,,,
Jay Chandrasekhar,Lindsay Price,Brittany Daniel,Club Dread?,Jay Chandrasekhar,beach|island|party|resort|serial killer,R,Comedy,,,,
Robert Ben Garant,Thomas Lennon,Wendi McLendon-Covey,Reno 911!: Miami?,Carlos Alazraqui,beach|police|sex scene|spring break|vomiting,R,Comedy,,,,
Spike Lee,Ossie Davis,Tisha Campbell-Martin,School Daze?,Bill Nunn,beauty salon|black college|college|fraternity|sorority,R,Comedy,Drama,,,
Steve Pink,Regina Hall,Joe Lo Truglio,About Last Night?,Bryan Callen,bedroom|boyfriend girlfriend relationship|hug|interrupted sex|urban setting,R,Comedy,,,,
Jay Chandrasekhar,Owain Yeoman,Chris Moss,Beerfest?,Jay Chandrasekhar,beer|competition|germany|oktoberfest|prostitute,R,Comedy,,,,
Allison Anders,Alicia Witt,Salma Hayek,Four Rooms?,Lili Taylor,bellhop|coven|gangster|hotel|new year's eve,R,Comedy,,,,
Gregor Jordan,Scott Glenn,Dean Stockwell,Buffalo Soldiers?,Leon,berlin wall|germany|murder|soldier|specialist,R,Comedy,,Drama,,
Miguel Arteta,Mike White,Lupe Ontiveros,Chuck & Buck?,Chris Weitz,best friend|bisexuality|friend|gay kiss|sexuality,R,Comedy,Drama,,,
Darren Stein,Judy Greer,Julie Benz,Jawbreaker?,Jeff Conaway,best friend|bitch|friend|popular girl|prom,R,Comedy,,,,
Noah Baumbach,Grace Gummer,Greta Gerwig,Frances Ha?,Vanessa Ray,best friend|black and white|father daughter relationship|female protagonist|mother daughter relationship,R,Comedy,Drama,,,
Jonathan Levine,Anna Kendrick,Joseph Gordon-Levitt,50/50?,Bryce Dallas Howard,best friend|cancer|survival rate|therapist|vomiting,R,Comedy,Drama,,,
Charles Shyer,Nia Long,Omar Epps,Alfie?,Jane Krakowski,best friend|commitment|friend|limousine driver|one night stand,R,Comedy,Drama,,,
Paul Feig,Wendi McLendon-Covey,Matt Lucas,Bridesmaids?,Steve Bannos,best friend|failure|food|job|partial female nudity,R,Comedy,,,,
David Dobkin,Olivia Wilde,Ryan Reynolds,The Change-Up?,Mircea Monroe,best friend|fountain|law firm|lawyer|sex,R,Comedy,,,,
C. Jay Cox,Amber Benson,Tori Spelling,Kiss the Bride?,Garrett M. Brown,best friend|high school|love|secret|wedding,R,Comedy,,,,
Lee Toland Krieger,Janel Parrish,Ari Graynor,Celeste & Jesse Forever?,Rob Huebel,best friends|friendship|masturbation|reference to matthias steiner|single,R,Comedy,Drama,,,
J.B. Rogers,Chris Klein,Eddie Cibrian,Say It Isn't So?,Jack Plotnick,bestiality|brother sister incest|fisting|hit on the head with a pipe|wedding,R,Comedy,,,,
